project,experiment_id,model,accuracy,precision,recall,f1_score
tensorflow,0,baseline,1.0,1.0,1.0,1.0
tensorflow,0,fairbug,1.0,1.0,1.0,1.0
tensorflow,1,baseline,1.0,1.0,1.0,1.0
tensorflow,1,fairbug,1.0,1.0,1.0,1.0
tensorflow,2,baseline,1.0,1.0,1.0,1.0
tensorflow,2,fairbug,1.0,1.0,1.0,1.0
tensorflow,3,baseline,1.0,1.0,1.0,1.0
tensorflow,3,fairbug,1.0,1.0,1.0,1.0
tensorflow,4,baseline,1.0,1.0,1.0,1.0
tensorflow,4,fairbug,1.0,1.0,1.0,1.0
tensorflow,5,baseline,1.0,1.0,1.0,1.0
tensorflow,5,fairbug,1.0,1.0,1.0,1.0
tensorflow,6,baseline,1.0,1.0,1.0,1.0
tensorflow,6,fairbug,1.0,1.0,1.0,1.0
tensorflow,7,baseline,1.0,1.0,1.0,1.0
tensorflow,7,fairbug,1.0,1.0,1.0,1.0
tensorflow,8,baseline,1.0,1.0,1.0,1.0
tensorflow,8,fairbug,1.0,1.0,1.0,1.0
tensorflow,9,baseline,1.0,1.0,1.0,1.0
tensorflow,9,fairbug,1.0,1.0,1.0,1.0
tensorflow,10,baseline,1.0,1.0,1.0,1.0
tensorflow,10,fairbug,1.0,1.0,1.0,1.0
tensorflow,11,baseline,1.0,1.0,1.0,1.0
tensorflow,11,fairbug,1.0,1.0,1.0,1.0
tensorflow,12,baseline,1.0,1.0,1.0,1.0
tensorflow,12,fairbug,1.0,1.0,1.0,1.0
tensorflow,13,baseline,1.0,1.0,1.0,1.0
tensorflow,13,fairbug,1.0,1.0,1.0,1.0
tensorflow,14,baseline,1.0,1.0,1.0,1.0
tensorflow,14,fairbug,1.0,1.0,1.0,1.0
tensorflow,15,baseline,1.0,1.0,1.0,1.0
tensorflow,15,fairbug,1.0,1.0,1.0,1.0
tensorflow,16,baseline,1.0,1.0,1.0,1.0
tensorflow,16,fairbug,1.0,1.0,1.0,1.0
tensorflow,17,baseline,1.0,1.0,1.0,1.0
tensorflow,17,fairbug,1.0,1.0,1.0,1.0
tensorflow,18,baseline,1.0,1.0,1.0,1.0
tensorflow,18,fairbug,1.0,1.0,1.0,1.0
tensorflow,19,baseline,1.0,1.0,1.0,1.0
tensorflow,19,fairbug,1.0,1.0,1.0,1.0
tensorflow,20,baseline,1.0,1.0,1.0,1.0
tensorflow,20,fairbug,1.0,1.0,1.0,1.0
tensorflow,21,baseline,1.0,1.0,1.0,1.0
tensorflow,21,fairbug,1.0,1.0,1.0,1.0
tensorflow,22,baseline,1.0,1.0,1.0,1.0
tensorflow,22,fairbug,1.0,1.0,1.0,1.0
tensorflow,23,baseline,1.0,1.0,1.0,1.0
tensorflow,23,fairbug,1.0,1.0,1.0,1.0
tensorflow,24,baseline,1.0,1.0,1.0,1.0
tensorflow,24,fairbug,1.0,1.0,1.0,1.0
tensorflow,25,baseline,1.0,1.0,1.0,1.0
tensorflow,25,fairbug,1.0,1.0,1.0,1.0
tensorflow,26,baseline,1.0,1.0,1.0,1.0
tensorflow,26,fairbug,1.0,1.0,1.0,1.0
tensorflow,27,baseline,1.0,1.0,1.0,1.0
tensorflow,27,fairbug,1.0,1.0,1.0,1.0
tensorflow,28,baseline,1.0,1.0,1.0,1.0
tensorflow,28,fairbug,1.0,1.0,1.0,1.0
tensorflow,29,baseline,1.0,1.0,1.0,1.0
tensorflow,29,fairbug,1.0,1.0,1.0,1.0
pytorch,0,baseline,1.0,1.0,1.0,1.0
pytorch,0,fairbug,1.0,1.0,1.0,1.0
pytorch,1,baseline,1.0,1.0,1.0,1.0
pytorch,1,fairbug,1.0,1.0,1.0,1.0
pytorch,2,baseline,1.0,1.0,1.0,1.0
pytorch,2,fairbug,1.0,1.0,1.0,1.0
pytorch,3,baseline,1.0,1.0,1.0,1.0
pytorch,3,fairbug,1.0,1.0,1.0,1.0
pytorch,4,baseline,1.0,1.0,1.0,1.0
pytorch,4,fairbug,1.0,1.0,1.0,1.0
pytorch,5,baseline,1.0,1.0,1.0,1.0
pytorch,5,fairbug,1.0,1.0,1.0,1.0
pytorch,6,baseline,1.0,1.0,1.0,1.0
pytorch,6,fairbug,1.0,1.0,1.0,1.0
pytorch,7,baseline,1.0,1.0,1.0,1.0
pytorch,7,fairbug,1.0,1.0,1.0,1.0
pytorch,8,baseline,1.0,1.0,1.0,1.0
pytorch,8,fairbug,1.0,1.0,1.0,1.0
pytorch,9,baseline,1.0,1.0,1.0,1.0
pytorch,9,fairbug,1.0,1.0,1.0,1.0
pytorch,10,baseline,1.0,1.0,1.0,1.0
pytorch,10,fairbug,1.0,1.0,1.0,1.0
pytorch,11,baseline,1.0,1.0,1.0,1.0
pytorch,11,fairbug,1.0,1.0,1.0,1.0
pytorch,12,baseline,1.0,1.0,1.0,1.0
pytorch,12,fairbug,1.0,1.0,1.0,1.0
pytorch,13,baseline,1.0,1.0,1.0,1.0
pytorch,13,fairbug,1.0,1.0,1.0,1.0
pytorch,14,baseline,1.0,1.0,1.0,1.0
pytorch,14,fairbug,1.0,1.0,1.0,1.0
pytorch,15,baseline,1.0,1.0,1.0,1.0
pytorch,15,fairbug,1.0,1.0,1.0,1.0
pytorch,16,baseline,1.0,1.0,1.0,1.0
pytorch,16,fairbug,1.0,1.0,1.0,1.0
pytorch,17,baseline,1.0,1.0,1.0,1.0
pytorch,17,fairbug,1.0,1.0,1.0,1.0
pytorch,18,baseline,1.0,1.0,1.0,1.0
pytorch,18,fairbug,1.0,1.0,1.0,1.0
pytorch,19,baseline,1.0,1.0,1.0,1.0
pytorch,19,fairbug,1.0,1.0,1.0,1.0
pytorch,20,baseline,1.0,1.0,1.0,1.0
pytorch,20,fairbug,1.0,1.0,1.0,1.0
pytorch,21,baseline,1.0,1.0,1.0,1.0
pytorch,21,fairbug,1.0,1.0,1.0,1.0
pytorch,22,baseline,1.0,1.0,1.0,1.0
pytorch,22,fairbug,1.0,1.0,1.0,1.0
pytorch,23,baseline,1.0,1.0,1.0,1.0
pytorch,23,fairbug,1.0,1.0,1.0,1.0
pytorch,24,baseline,1.0,1.0,1.0,1.0
pytorch,24,fairbug,1.0,1.0,1.0,1.0
pytorch,25,baseline,1.0,1.0,1.0,1.0
pytorch,25,fairbug,1.0,1.0,1.0,1.0
pytorch,26,baseline,1.0,1.0,1.0,1.0
pytorch,26,fairbug,1.0,1.0,1.0,1.0
pytorch,27,baseline,1.0,1.0,1.0,1.0
pytorch,27,fairbug,1.0,1.0,1.0,1.0
pytorch,28,baseline,1.0,1.0,1.0,1.0
pytorch,28,fairbug,1.0,1.0,1.0,1.0
pytorch,29,baseline,1.0,1.0,1.0,1.0
pytorch,29,fairbug,1.0,1.0,1.0,1.0
keras,0,baseline,1.0,1.0,1.0,1.0
keras,0,fairbug,1.0,1.0,1.0,1.0
keras,1,baseline,1.0,1.0,1.0,1.0
keras,1,fairbug,1.0,1.0,1.0,1.0
keras,2,baseline,1.0,1.0,1.0,1.0
keras,2,fairbug,1.0,1.0,1.0,1.0
keras,3,baseline,1.0,1.0,1.0,1.0
keras,3,fairbug,1.0,1.0,1.0,1.0
keras,4,baseline,1.0,1.0,1.0,1.0
keras,4,fairbug,1.0,1.0,1.0,1.0
keras,5,baseline,1.0,1.0,1.0,1.0
keras,5,fairbug,1.0,1.0,1.0,1.0
keras,6,baseline,1.0,1.0,1.0,1.0
keras,6,fairbug,1.0,1.0,1.0,1.0
keras,7,baseline,1.0,1.0,1.0,1.0
keras,7,fairbug,1.0,1.0,1.0,1.0
keras,8,baseline,1.0,1.0,1.0,1.0
keras,8,fairbug,1.0,1.0,1.0,1.0
keras,9,baseline,1.0,1.0,1.0,1.0
keras,9,fairbug,1.0,1.0,1.0,1.0
keras,10,baseline,1.0,1.0,1.0,1.0
keras,10,fairbug,1.0,1.0,1.0,1.0
keras,11,baseline,1.0,1.0,1.0,1.0
keras,11,fairbug,1.0,1.0,1.0,1.0
keras,12,baseline,1.0,1.0,1.0,1.0
keras,12,fairbug,1.0,1.0,1.0,1.0
keras,13,baseline,1.0,1.0,1.0,1.0
keras,13,fairbug,1.0,1.0,1.0,1.0
keras,14,baseline,1.0,1.0,1.0,1.0
keras,14,fairbug,1.0,1.0,1.0,1.0
keras,15,baseline,1.0,1.0,1.0,1.0
keras,15,fairbug,1.0,1.0,1.0,1.0
keras,16,baseline,1.0,1.0,1.0,1.0
keras,16,fairbug,1.0,1.0,1.0,1.0
keras,17,baseline,1.0,1.0,1.0,1.0
keras,17,fairbug,1.0,1.0,1.0,1.0
keras,18,baseline,1.0,1.0,1.0,1.0
keras,18,fairbug,1.0,1.0,1.0,1.0
keras,19,baseline,1.0,1.0,1.0,1.0
keras,19,fairbug,1.0,1.0,1.0,1.0
keras,20,baseline,1.0,1.0,1.0,1.0
keras,20,fairbug,1.0,1.0,1.0,1.0
keras,21,baseline,1.0,1.0,1.0,1.0
keras,21,fairbug,1.0,1.0,1.0,1.0
keras,22,baseline,1.0,1.0,1.0,1.0
keras,22,fairbug,1.0,1.0,1.0,1.0
keras,23,baseline,1.0,1.0,1.0,1.0
keras,23,fairbug,1.0,1.0,1.0,1.0
keras,24,baseline,1.0,1.0,1.0,1.0
keras,24,fairbug,1.0,1.0,1.0,1.0
keras,25,baseline,1.0,1.0,1.0,1.0
keras,25,fairbug,1.0,1.0,1.0,1.0
keras,26,baseline,1.0,1.0,1.0,1.0
keras,26,fairbug,1.0,1.0,1.0,1.0
keras,27,baseline,1.0,1.0,1.0,1.0
keras,27,fairbug,1.0,1.0,1.0,1.0
keras,28,baseline,1.0,1.0,1.0,1.0
keras,28,fairbug,1.0,1.0,1.0,1.0
keras,29,baseline,1.0,1.0,1.0,1.0
keras,29,fairbug,1.0,1.0,1.0,1.0
mxnet,0,baseline,1.0,1.0,1.0,1.0
mxnet,0,fairbug,1.0,1.0,1.0,1.0
mxnet,1,baseline,1.0,1.0,1.0,1.0
mxnet,1,fairbug,1.0,1.0,1.0,1.0
mxnet,2,baseline,1.0,1.0,1.0,1.0
mxnet,2,fairbug,1.0,1.0,1.0,1.0
mxnet,3,baseline,1.0,1.0,1.0,1.0
mxnet,3,fairbug,1.0,1.0,1.0,1.0
mxnet,4,baseline,1.0,1.0,1.0,1.0
mxnet,4,fairbug,1.0,1.0,1.0,1.0
mxnet,5,baseline,1.0,1.0,1.0,1.0
mxnet,5,fairbug,1.0,1.0,1.0,1.0
mxnet,6,baseline,1.0,1.0,1.0,1.0
mxnet,6,fairbug,1.0,1.0,1.0,1.0
mxnet,7,baseline,1.0,1.0,1.0,1.0
mxnet,7,fairbug,1.0,1.0,1.0,1.0
mxnet,8,baseline,1.0,1.0,1.0,1.0
mxnet,8,fairbug,1.0,1.0,1.0,1.0
mxnet,9,baseline,1.0,1.0,1.0,1.0
mxnet,9,fairbug,1.0,1.0,1.0,1.0
mxnet,10,baseline,1.0,1.0,1.0,1.0
mxnet,10,fairbug,1.0,1.0,1.0,1.0
mxnet,11,baseline,1.0,1.0,1.0,1.0
mxnet,11,fairbug,1.0,1.0,1.0,1.0
mxnet,12,baseline,1.0,1.0,1.0,1.0
mxnet,12,fairbug,1.0,1.0,1.0,1.0
mxnet,13,baseline,1.0,1.0,1.0,1.0
mxnet,13,fairbug,1.0,1.0,1.0,1.0
mxnet,14,baseline,1.0,1.0,1.0,1.0
mxnet,14,fairbug,1.0,1.0,1.0,1.0
mxnet,15,baseline,1.0,1.0,1.0,1.0
mxnet,15,fairbug,1.0,1.0,1.0,1.0
mxnet,16,baseline,1.0,1.0,1.0,1.0
mxnet,16,fairbug,1.0,1.0,1.0,1.0
mxnet,17,baseline,1.0,1.0,1.0,1.0
mxnet,17,fairbug,1.0,1.0,1.0,1.0
mxnet,18,baseline,1.0,1.0,1.0,1.0
mxnet,18,fairbug,1.0,1.0,1.0,1.0
mxnet,19,baseline,1.0,1.0,1.0,1.0
mxnet,19,fairbug,1.0,1.0,1.0,1.0
mxnet,20,baseline,1.0,1.0,1.0,1.0
mxnet,20,fairbug,1.0,1.0,1.0,1.0
mxnet,21,baseline,1.0,1.0,1.0,1.0
mxnet,21,fairbug,1.0,1.0,1.0,1.0
mxnet,22,baseline,1.0,1.0,1.0,1.0
mxnet,22,fairbug,1.0,1.0,1.0,1.0
mxnet,23,baseline,1.0,1.0,1.0,1.0
mxnet,23,fairbug,1.0,1.0,1.0,1.0
mxnet,24,baseline,1.0,1.0,1.0,1.0
mxnet,24,fairbug,1.0,1.0,1.0,1.0
mxnet,25,baseline,1.0,1.0,1.0,1.0
mxnet,25,fairbug,1.0,1.0,1.0,1.0
mxnet,26,baseline,1.0,1.0,1.0,1.0
mxnet,26,fairbug,1.0,1.0,1.0,1.0
mxnet,27,baseline,1.0,1.0,1.0,1.0
mxnet,27,fairbug,1.0,1.0,1.0,1.0
mxnet,28,baseline,1.0,1.0,1.0,1.0
mxnet,28,fairbug,1.0,1.0,1.0,1.0
mxnet,29,baseline,1.0,1.0,1.0,1.0
mxnet,29,fairbug,1.0,1.0,1.0,1.0
caffe,0,baseline,1.0,1.0,1.0,1.0
caffe,0,fairbug,1.0,1.0,1.0,1.0
caffe,1,baseline,1.0,1.0,1.0,1.0
caffe,1,fairbug,1.0,1.0,1.0,1.0
caffe,2,baseline,1.0,1.0,1.0,1.0
caffe,2,fairbug,1.0,1.0,1.0,1.0
caffe,3,baseline,1.0,1.0,1.0,1.0
caffe,3,fairbug,1.0,1.0,1.0,1.0
caffe,4,baseline,1.0,1.0,1.0,1.0
caffe,4,fairbug,1.0,1.0,1.0,1.0
caffe,5,baseline,1.0,1.0,1.0,1.0
caffe,5,fairbug,1.0,1.0,1.0,1.0
caffe,6,baseline,1.0,1.0,1.0,1.0
caffe,6,fairbug,1.0,1.0,1.0,1.0
caffe,7,baseline,1.0,1.0,1.0,1.0
caffe,7,fairbug,1.0,1.0,1.0,1.0
caffe,8,baseline,1.0,1.0,1.0,1.0
caffe,8,fairbug,1.0,1.0,1.0,1.0
caffe,9,baseline,1.0,1.0,1.0,1.0
caffe,9,fairbug,1.0,1.0,1.0,1.0
caffe,10,baseline,1.0,1.0,1.0,1.0
caffe,10,fairbug,1.0,1.0,1.0,1.0
caffe,11,baseline,1.0,1.0,1.0,1.0
caffe,11,fairbug,1.0,1.0,1.0,1.0
caffe,12,baseline,1.0,1.0,1.0,1.0
caffe,12,fairbug,1.0,1.0,1.0,1.0
caffe,13,baseline,1.0,1.0,1.0,1.0
caffe,13,fairbug,1.0,1.0,1.0,1.0
caffe,14,baseline,1.0,1.0,1.0,1.0
caffe,14,fairbug,1.0,1.0,1.0,1.0
caffe,15,baseline,1.0,1.0,1.0,1.0
caffe,15,fairbug,1.0,1.0,1.0,1.0
caffe,16,baseline,1.0,1.0,1.0,1.0
caffe,16,fairbug,1.0,1.0,1.0,1.0
caffe,17,baseline,1.0,1.0,1.0,1.0
caffe,17,fairbug,1.0,1.0,1.0,1.0
caffe,18,baseline,1.0,1.0,1.0,1.0
caffe,18,fairbug,1.0,1.0,1.0,1.0
caffe,19,baseline,1.0,1.0,1.0,1.0
caffe,19,fairbug,1.0,1.0,1.0,1.0
caffe,20,baseline,1.0,1.0,1.0,1.0
caffe,20,fairbug,1.0,1.0,1.0,1.0
caffe,21,baseline,1.0,1.0,1.0,1.0
caffe,21,fairbug,1.0,1.0,1.0,1.0
caffe,22,baseline,1.0,1.0,1.0,1.0
caffe,22,fairbug,1.0,1.0,1.0,1.0
caffe,23,baseline,1.0,1.0,1.0,1.0
caffe,23,fairbug,1.0,1.0,1.0,1.0
caffe,24,baseline,1.0,1.0,1.0,1.0
caffe,24,fairbug,1.0,1.0,1.0,1.0
caffe,25,baseline,1.0,1.0,1.0,1.0
caffe,25,fairbug,1.0,1.0,1.0,1.0
caffe,26,baseline,1.0,1.0,1.0,1.0
caffe,26,fairbug,1.0,1.0,1.0,1.0
caffe,27,baseline,1.0,1.0,1.0,1.0
caffe,27,fairbug,1.0,1.0,1.0,1.0
caffe,28,baseline,1.0,1.0,1.0,1.0
caffe,28,fairbug,1.0,1.0,1.0,1.0
caffe,29,baseline,1.0,1.0,1.0,1.0
caffe,29,fairbug,1.0,1.0,1.0,1.0
